ID,Item title,Final URL,Image URL,Item subtitle,Item category,Price,Contextual keywords,Item address
63530,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-czern-magic-metalizowany-tmbjr7nx9ny014805.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/8/c/8c7a4b8de3a1ff28b2b7f0a6a6c70e76-TMBJR7NX9NY014805-EF.png,OCTAVIA COMBI AMBITION  Manualna  1.5 TSI 150 KM,Pojazdy i części,111500 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Modlińska 224 Warszawa 03-119
63103,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-szary-quarz-metalizowany-tmbjr7nx0my192438.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/3/5/35069b6c3c8aadf257fcbf794ad5a16b-TMBJR7NX0MY192438-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,117000 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Modlińska 224 Warszawa 03-119
58304,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-race-metalizowany-tmbjr7nxxmy103085.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/f/9/f9bc501182ebdfe5107e72851ae2652e-TMBJR7NXXMY103085-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,117800 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Armii Krajowej 46 Wrocław 50-541
61780,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-szary-quarz-metalizowany-tmbjr7nx8my143360.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/e/8/e85dbd9c30bf8fc8129c826a063a021f-TMBJR7NX8MY143360-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
61579,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-titan-metalizowany-tmbjr7nx0my142039.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/2/1/21e30b3dc5abb9a175afd182cd188229-TMBJR7NX0MY142039-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
62353,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-lava-metalizowany-tmbjr7nx0my151260.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/4/7/479181c5e9843a104b0e2f662ac2ed71-TMBJR7NX0MY151260-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
61781,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-lava-metalizowany-tmbjr7nxxmy143232.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/4/7/479181c5e9843a104b0e2f662ac2ed71-TMBJR7NXXMY143232-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
61720,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-lava-metalizowany-tmbjr7nx1my143149.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/4/7/479181c5e9843a104b0e2f662ac2ed71-TMBJR7NX1MY143149-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
62736,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-lava-metalizowany-tmbjr7nx2my175687.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/4/7/479181c5e9843a104b0e2f662ac2ed71-TMBJR7NX2MY175687-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
62349,ŠKODA OCTAVIA COMBI,https://sklep.skoda-auto.pl/skoda-octavia-combi-1-5-tsi-110-kw-150-km-6-biegowa-manualna-blekit-lava-metalizowany-tmbjr7nx5my154431.html,https://sklep.skoda-auto.pl/media/catalog/product/cache/779e34063ea37c481ddb6652b1f2b61e/4/7/479181c5e9843a104b0e2f662ac2ed71-TMBJR7NX5MY154431-EF.png,OCTAVIA COMBI STYLE  Manualna  1.5 TSI 150 KM,Pojazdy i części,120700 PLN,OCTAVIA COMBI SAMOCHÓD SKODA,Unii Lubelskiej 5 Poznań 61-249
